archive	archive_member	tracked_path	archive_member_sha256	tracked_sha256
ECM_DOCS_DEV.zip	DGO_Targets_Platform/AUDIT.md	AUDIT.md	719c62104cdaa4308c829bcea0fba22a069dcc0c3137f4e8ee4284b64c995308	7d7473d82a5b19d97096db1ac7a02f788709cf69d233bd66b41886ad8fd6b07b
ECM_DOCS_DEV.zip	DGO_Targets_Platform/CONTRIBUTING.md	CONTRIBUTING.md	9b1edb5ea2a6d2a6880425152846cb843418f8f6b07124bcf5bfc2d821fe05fc	910ab802b4a191be5d30827106f2c19babbcf66fd303428de1728ba69c3f61e9
ECM_DOCS_DEV.zip	DGO_Targets_Platform/ECM_ActivityHub_Portal/js/api/client.js	ECM_ActivityHub_Portal/js/api/client.js	b02cf5c95831990edd8c2d48fff1f91ca618b5c393c707c0df701f7664a6a2a6	2d4d5bc080bdbff2e7bb9836e75fedb3bfaf92aa9d6e142987c95f70756cf368
ECM_DOCS_DEV.zip	DGO_Targets_Platform/ECM_ActivityHub_Portal/js/controllers/actions.js	ECM_ActivityHub_Portal/js/controllers/actions.js	f10279b3191f14b3d52ada7eda01d4f79d4d7b1cc3a566f7bd2803a0a392cf79	006657c8eff57ab22f32ba1b3d24851d43df5c4e4e7c3ad69b5cd54006486d48
ECM_DOCS_DEV.zip	DGO_Targets_Platform/ECM_ActivityHub_Portal/js/core/router.js	ECM_ActivityHub_Portal/js/core/router.js	d712b7fa74fc660907ae2bf95f1291db7cd25d484186f167c5ff149b3f9a27f2	076183d9c8981ff5c157ed88cc3f97221f6934b8693b26c8a0645a0720247e9b
ECM_DOCS_DEV.zip	DGO_Targets_Platform/ECM_ActivityHub_Portal/js/core/store.js	ECM_ActivityHub_Portal/js/core/store.js	88eabf51b258515c8bed510b11feff51f4cb7c6751b9f36d7233d5a82435292d	6aa38d32c2b0078c299189db4def2951883fff6edb0929e0409c2ff312b6fade
ECM_DOCS_DEV.zip	DGO_Targets_Platform/ECM_ActivityHub_Portal/js/views/pages/notfound.js	ECM_ActivityHub_Portal/js/views/pages/notfound.js	aec6fae304e42967b4480fde625fb08a35b977dbdf915d27ffc87a807bf959cf	4d40fc825e0bac0b186c04612781b80d241019a0459e9339b219ffe30118934c
ECM_DOCS_DEV.zip	DGO_Targets_Platform/ECM_ActivityHub_Portal/js/views/router.js	ECM_ActivityHub_Portal/js/views/router.js	723f3465adb9d2e981761e6fc1e07ccad2f4fbf7632cba87facc4ea0d745c8e0	d5b463f7d840ee056458c974726b77091120400363b0265bb3e41dac71517438
ECM_DOCS_DEV.zip	DGO_Targets_Platform/ECM_ActivityHub_Portal/js/views/sidebar.js	ECM_ActivityHub_Portal/js/views/sidebar.js	999380ac21058fa51af4a06e275a5f1a412f835a2339d3989acdaeddab63b7aa	7fd7b7e84c67f3b0f239483d3677548f40c51b543592cc41d78e3942ff4d6df8
ECM_DOCS_DEV.zip	DGO_Targets_Platform/README.md	README.md	c40b3dc3dac1b91d66538a995052f78c59a69636aa7920392350df93eeeb6cc4	6bb8715f05dfe50cfc7b08fce2e88cffec328ba27c8a74ee09e3aba24a81b138
ECM_DOCS_DEV.zip	DGO_Targets_Platform/core/acknowledgement-service.js	core/acknowledgement-service.js	a43be31d32a15e41787f9d6be44c6b29a41a039ba60ed9c0e12324672ad926e7	433f701a3d692b15ae624de5c981dba44b4b38a8a94ed9e5919087bdc55c3683
ECM_DOCS_DEV.zip	DGO_Targets_Platform/core/action-authority.js	core/action-authority.js	42faba97fd8f74ccd20bcfc2b82da604974b1e6dc01b66691d9023c08d941795	df3ab4b30db7112dfa6c50b7514e3903df63720d143e2e658acde80064791882
ECM_DOCS_DEV.zip	DGO_Targets_Platform/core/current-user.js	core/current-user.js	b14fe03c35a769b5f77dfab75fde4c987d846005800f624ae2fe7abed189ee92	f814529972acf27e41cd5396781b0ded122039c801554c4b674f7a51b7f30a20
ECM_DOCS_DEV.zip	DGO_Targets_Platform/core/data-client.js	core/data-client.js	32e1f8f79b57180bef0594d33480d452e4d4602d4cda8b2a0cf6f56c8fb725c9	cc623198cf31bcf0ddfd7dcb974de5a2c9bccc5c9495f7d61c5fc644dd31f8f4
ECM_DOCS_DEV.zip	DGO_Targets_Platform/core/ui.js	core/ui.js	7e4f7c1343f1721bfa89f5c4e9ab09aa65368debec95b25c65400b82f362cd14	857be9b0f2138dbcfe5157d52d8bbb9855e3404b98d2bb6b5db19b5d3c1fc1ef
ECM_DOCS_DEV.zip	DGO_Targets_Platform/document-portal/404.html	document-portal/404.html	a22a8409980c35071286e67c0710fb0ac68b6c91ba9918bee877dfe0e6929abb	3a233897b69889c5f4e74582aa312e5ad2c336d4b956e826ce4446d845eab689
ECM_DOCS_DEV.zip	DGO_Targets_Platform/document-portal/README.md	document-portal/README.md	677a6a037d06680e2aab2e18b096e0e63b539108892ce4742447328efe08188d	bda281a1d5362ef242853427f521b09dca7867580873fad7fb078b10310b0da1
ECM_DOCS_DEV.zip	DGO_Targets_Platform/document-portal/admin.html	document-portal/admin.html	a4a2707153f160d88c82ee131d68302770dd3c02632438163713bd39ae43291f	93183a3a5303fdd2c64925e990a3a8f666941897aeee0a1866902510f0010081
ECM_DOCS_DEV.zip	DGO_Targets_Platform/document-portal/index.html	document-portal/index.html	5bb0e16b6eaa5d331a4234deaf047012af7e4a330a155b574aacebe4c1c9b6c7	00bf9107451cc7a2f9a515cbea8f914cacd92d2ac70a1644c01d17f57376fd9d
ECM_DOCS_DEV.zip	DGO_Targets_Platform/document-portal/js/admin.js	document-portal/js/admin.js	eb55643460371f114a2c6c05188f4fb7d6a2a1fe61a54421bd2fd228e0bf026b	6992e6787f6f9c8d178afd398846ff4fb512cab9917d9a8f88abfb0861e2b905
ECM_DOCS_DEV.zip	DGO_Targets_Platform/document-portal/js/data.js	document-portal/js/data.js	eeb18241f2e506a00fc49d1b953c8516ecc2d14593a273af5d88aa63776f6496	e32aee42327ff5ca55b45e29299fbe2414f3a451163c21742608866cdef562ce
ECM_DOCS_DEV.zip	DGO_Targets_Platform/document-portal/js/submit.js	document-portal/js/submit.js	ba74865c6083811c33d5b00d36e8b11fee8ae111c78f14077e83a870c9aa0374	bdc9c96b0827e4f8b2ffb2006aeb4b904ef12d31232764253c64726b1fe58887
ECM_DOCS_DEV.zip	DGO_Targets_Platform/document-portal/js/support.js	document-portal/js/support.js	7ab9ed5cbdf20888a0539f961d61fe951908887dfcd4b97791f3abcc7f4512a1	11dd707e5aa9ffba3ac9be53a0d0e481a973f617bde716140369a73be58a6413
ECM_DOCS_DEV.zip	DGO_Targets_Platform/document-portal/js/track.js	document-portal/js/track.js	119287ed6cff84ab55ee1cc58f5bfc1d178c44e6a351534cd0545df0a94241e4	84f3691f72f12c6b17fbddd44f1bcaf0ef0159d16cd6c7fd6424c90d00a85534
