workflow_id,endpoint_key,secret_name,action,phase,url_storage,status,notes
1154b50e1d17420dadb3b012e7e2a02c,BULK_ASSIGNMENT,DGO_ENDPOINT_BULK_ASSIGNMENT,regenerate,2.1,NEVER_STORE_HERE,pending,Store full URL only in approved vault
6b3bad3005b44bf6bced0f8074d3f2ed,SINGLE_ASSIGNMENT,DGO_ENDPOINT_SINGLE_ASSIGNMENT,regenerate,2.1,NEVER_STORE_HERE,pending,
7e71fffe770a45ccb93bf216bb53786e,BULK_ASSIGNMENT_DIRECT,DGO_ENDPOINT_BULK_ASSIGNMENT_DIRECT,regenerate,2.1,NEVER_STORE_HERE,pending,
818ec4053f1e4f0b87845114241d8b74,GET_DOCS,DGO_ENDPOINT_GET_DOCS,regenerate,2.1,NEVER_STORE_HERE,pending,
20e3b003a57f47febae8a24ad5b9acd4,AI_DOC_ANALYSIS,DGO_ENDPOINT_AI_DOC_ANALYSIS,regenerate,2.1,NEVER_STORE_HERE,pending,
20e6340941ce4b1bbb87b43c9102a777,FETCH_EMAIL_ATTACHMENTS,DGO_ENDPOINT_FETCH_EMAIL_ATTACHMENTS,regenerate,2.1,NEVER_STORE_HERE,pending,
314aaf27593147089b38322e5ca25936,OTP_GENERATE,DGO_ENDPOINT_OTP_GENERATE,rebuild,2.2,NEVER_STORE_HERE,pending,Delete old flow before replacement
43879c5165de439680055ab4258b3f27,OTP_VERIFY,DGO_ENDPOINT_OTP_VERIFY,rebuild,2.2,NEVER_STORE_HERE,pending,Delete old flow before replacement
4a250f97181b4a28abc1d0fb0f7d4c4d,FETCH_ALL,DGO_ENDPOINT_FETCH_ALL,rebuild,2.2,NEVER_STORE_HERE,pending,Delete old flow before replacement
85c556f10b8244ba9d839a2ebe240b91,FETCH_ACTIVITIES,DGO_ENDPOINT_FETCH_ACTIVITIES,regenerate,2.1,NEVER_STORE_HERE,pending,Same URL also serves DGO_ENDPOINT_SUBSIDIARY_ACTIONS
a13c8b577bd44f8787c50d095ea3faf9,AI_CHAT,DGO_ENDPOINT_AI_CHAT,regenerate,2.1,NEVER_STORE_HERE,pending,
a942d230337c4ddfa9a386e92bbd048b,EMAIL_RELATED_TASK,DGO_ENDPOINT_EMAIL_RELATED_TASK,regenerate,2.1,NEVER_STORE_HERE,pending,
bc83d98acf474a088832d78f50085388,DYNAMIC_ACTIONS,DGO_ENDPOINT_DYNAMIC_ACTIONS,regenerate,2.1,NEVER_STORE_HERE,pending,Same URL also serves DGO_ENDPOINT_EMAIL
d67f2acb3708449490eed561ee56efbe,REFERENCE_DATA,DGO_ENDPOINT_REFERENCE_DATA,regenerate,2.1,NEVER_STORE_HERE,pending,
fe794e0139784ac694768e5a716e0be7,AI_EMAIL_ANALYSIS,DGO_ENDPOINT_AI_EMAIL_ANALYSIS,regenerate,2.1,NEVER_STORE_HERE,pending,
1ff7714c11a74fa4a876f8f6a79b64d2,,none,delete,2.3,NEVER_STORE_HERE,pending,Unused trigger
3fc71cc29d15481291fd341def327572,,none,delete,2.3,NEVER_STORE_HERE,pending,Unused trigger
5b29edc84b5d4a8db3c885d8441aa977,,none,delete,2.3,NEVER_STORE_HERE,pending,Unused trigger
7995c1eb50d94d5daa2780e71391d874,,none,delete,2.3,NEVER_STORE_HERE,pending,Unused trigger
c43388639d14452faef4ca3042a95b23,,none,delete,2.3,NEVER_STORE_HERE,pending,Unused trigger
ca0bafc172114e0bb4853c135246654c,,none,delete,2.3,NEVER_STORE_HERE,pending,Unused trigger
37642ba3597f4cf58288cc71b5e6b519,,none,delete,2.2,NEVER_STORE_HERE,pending,Unused trigger with multiple published signatures
3931e2ff995242b6b2c920c8b2209797,,none,delete,2.2,NEVER_STORE_HERE,pending,Unused trigger with multiple published signatures
ff455c68e9ac493e858fb984bcfd01fb,,none,delete,2.2,NEVER_STORE_HERE,pending,Unused trigger with multiple published signatures
INTAKE-SUBMISSION,INTAKE_SUBMISSION,DGO_ENDPOINT_INTAKE_SUBMISSION,build-if-missing,2.5,NEVER_STORE_HERE,pending,
INTAKE-UPLOAD,INTAKE_UPLOAD,DGO_ENDPOINT_INTAKE_UPLOAD,build-if-missing,2.5,NEVER_STORE_HERE,pending,SharePoint upload endpoint V8
INTAKE-STATUS,INTAKE_STATUS,DGO_ENDPOINT_INTAKE_STATUS,build-if-missing,2.5,NEVER_STORE_HERE,pending,
INTAKE-SUPPORT,INTAKE_SUPPORT,DGO_ENDPOINT_INTAKE_SUPPORT,build-if-missing,2.5,NEVER_STORE_HERE,pending,
INTAKE-VERIFY-EMAIL,INTAKE_VERIFY_EMAIL,DGO_ENDPOINT_INTAKE_VERIFY_EMAIL,build-if-missing,2.5,NEVER_STORE_HERE,pending,
SCAN-UPLOAD,SCAN_UPLOAD,DGO_ENDPOINT_SCAN_UPLOAD,build-if-missing,2.5,NEVER_STORE_HERE,pending,Falls back to DGO_ENDPOINT_INTAKE_UPLOAD when unset
DISPATCH-OUTBOUND,DISPATCH_OUTBOUND,DGO_ENDPOINT_DISPATCH_OUTBOUND,leave-unset-for-pilot,2.4,NEVER_STORE_HERE,pending,Optional backend
ARCHIVE-REFERENCE,ARCHIVE_REFERENCE,DGO_ENDPOINT_ARCHIVE_REFERENCE,leave-unset-for-pilot,2.4,NEVER_STORE_HERE,pending,Optional backend
